web-scraper-order,web-scraper-start-url,name,season,team,position,games_played,goals,assists,points,plus_minus,pim,points_per_gp,ppg,ppp,shg,shp,gwg,otg,shots,shot_perc,toi_gp,shifts_gp,fow_perc
"1571428408-4670","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","George Carey","1922-23","HAM","R","5","1","1","2","","0","0.40","","","","","0","0","","--","","--","--"
"1571428408-4922","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Don Smith","1919-20","MTL","L","12","1","0","1","","6","0.08","","","","","0","0","","--","","--","--"
"1571428408-5424","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","John Sherf","1935-36","DET","L","1","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1571428408-544","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Johnny Gagnon","1938-39","MTL","R","45","12","22","34","","23","0.76","3","5","0","0","1","0","","--","","--","--"
"1571428408-5886","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Eric Pettinger","1930-31","SEN","L","13","0","0","0","","2","--","","","","","0","0","","--","","--","--"
"1571428408-3501","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Tom Anderson","1934-35","DET","L","27","5","2","7","","16","0.26","0","0","1","1","3","1","","--","","--","--"
"1571428408-1868","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Butch Keeling","1935-36","NYR","L","46","13","5","18","","22","0.39","2","2","0","0","1","1","","--","","--","--"
"1571428408-5058","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Viv Allen","1940-41","NYA","R","11","0","1","1","","0","0.09","0","0","0","0","0","0","","--","","--","--"
"1571428408-1065","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jimmy Ward","1937-38","MMR","R","48","11","15","26","","34","0.54","2","4","1","1","1","0","","--","","--","--"
"1571428408-4273","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ozzie Aubuchon","1942-43","BOS","L","3","3","0","3","","0","1.00","0","0","0","0","1","0","","--","","--","--"
"1571428408-5447","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","John Sherf","1936-37","DET","L","1","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1571428408-4523","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Eddie Wares","1936-37","NYR","R","2","2","0","2","","0","1.00","0","0","0","0","1","0","","--","","--","--"
"1571428408-304","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Sweeney Schriner","1940-41","TOR","L","48","24","14","38","","6","0.79","1","1","1","1","5","0","","--","","--","--"
"1571428408-5427","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jack Riley","1935-36","BOS","C","8","0","0","0","","0","--","0","0","0","0","0","0","","--","","--","--"
"1571428408-4554","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jack Shewchuk","1941-42","BOS","D","22","2","0","2","","14","0.09","1","1","0","0","0","0","","--","","--","--"
"1571428408-1888","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Frank Nighbor","1922-23","SEN","C","22","11","7","18","","14","0.82","","","","","1","0","","--","","--","--"
"1571428408-1659","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Pep Kelly","1939-40","TOR","R","34","11","9","20","","15","0.59","0","2","0","0","3","0","","--","","--","--"
"1571428408-1421","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Butch Keeling","1930-31","NYR","L","44","13","9","22","","35","0.50","","","","","3","1","","--","","--","--"
"1571428408-1908","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Red Hamill","1939-40","BOS","L","30","10","8","18","","16","0.60","0","1","0","0","2","0","","--","","--","--"
"1571428408-4728","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jack Church","1938-39","TOR","D","3","0","2","2","","2","0.67","0","0","0","0","0","0","","--","","--","--"
"1571428408-3437","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Alex Levinsky","1935-36","CHI","D","48","1","7","8","","69","0.17","0","1","0","0","0","0","","--","","--","--"
"1571428408-993","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Syd Howe","1937-38","DET","C","48","8","19","27","","14","0.56","0","0","0","0","0","0","","--","","--","--"
"1571428408-5495","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Horace Merrill","1919-20","SEN","D","5","0","0","0","","0","--","","","","","0","0","","--","","--","--"
"1571428408-110","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Cy Denneny","1917-18","SEN","L","21","36","10","46","","80","2.19","","","","","2","0","","--","","--","--"
"1571428408-5283","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Albert Holway","1925-26","TSP, MMR","D","29","0","0","0","","8","--","","","","","0","0","","--","","--","--"
"1571428408-2627","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Ott Heller","1935-36","NYR","D","45","2","11","13","","40","0.29","0","4","0","0","1","1","","--","","--","--"
"1571428408-3519","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Lionel Conacher","1930-31","MMR","D","36","4","3","7","","55","0.19","","","","","0","0","","--","","--","--"
"1571428408-1051","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19171918&seasonTo=19421943&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Gerry Lowrey","1930-31","QUA","L","43","12","14","26","","27","0.60","","","","","1","1","","--","","--","--"
