web-scraper-order,web-scraper-start-url,name,season,team,position,games_played,goals,assists,points,plus_minus,pim,points_per_gp,ppg,ppp,shg,shp,gwg,otg,shots,shot_perc,toi_gp,shifts_gp,fow_perc
"1573423104-2185","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Billy Harris","1962-63","TOR","C","65","8","24","32","5","20","0.49","1","6","0","0","2","0","87","9.2","","--","--"
"1573423104-5422","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jean-Guy Talbot","1967-68","MNS, DET, STL","D","59","0","7","7","-2","16","0.12","0","0","0","0","0","0","47","0.0","","--","--"
"1573423104-7695","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Larry Hillman","1954-55","DET","D","6","0","0","0","","2","--","0","0","0","0","0","0","","--","","--","--"
"1573423104-7724","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Barrie Meissner","1967-68","MNS","L","1","0","0","0","-3","2","--","0","0","0","0","0","0","2","0.0","","--","--"
"1573423104-7074","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Jeannot Gilbert","1962-63","BOS","C","5","0","0","0","-4","4","--","0","0","0","0","0","0","3","0.0","","--","--"
"1573423104-5726","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Tracy Pratt","1967-68","OAK","D","34","0","5","5","-18","90","0.15","0","0","0","0","0","0","35","0.0","","--","--"
"1573423104-4545","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","John McCormack","1954-55","CHI","C","63","5","7","12","","8","0.19","0","0","1","1","1","0","","--","","--","--"
"1573423104-3885","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Garry Unger","1967-68","TOR, DET","C","28","6","11","17","-3","6","0.61","0","2","0","0","0","0","57","10.5","","--","--"
"1573423104-2558","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Forbes Kennedy","1967-68","PHI","C","73","10","18","28","4","130","0.38","1","1","1","3","3","0","100","10.0","","--","--"
"1573423104-4935","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Joe Watson","1968-69","PHI","D","60","2","8","10","-23","14","0.17","0","0","0","1","0","0","82","2.4","","--","--"
"1573423104-279","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Maurice Richard","1949-50","MTL","R","70","43","22","65","","114","0.93","13","19","0","0","8","0","","--","","--","--"
"1573423104-2613","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Johnny Wilson","1960-61","TOR, NYR","L","59","14","13","27","-8","24","0.46","0","0","1","1","1","0","129","10.8","","--","--"
"1573423104-4701","http://www.nhl.com/stats/player?reportType=season&seasonFrom=19431944&seasonTo=19681969&gameType=2&filter=gamesPlayed,gte,1&sort=points,goals,assists","Harry Taylor","1948-49","TOR","C","42","4","7","11","","30","0.26","0","0","0","0","0","0","","--","","--","--"
